Mensaje,Fecha
Ponte un fort,2/1/2024
Feliz día de la amistad♡,2/6/2024
te amo ;),2/6/2024
para q novio si me tienes a mi,2/5/2024
Ñaño tqm no lo olvides ,1/30/2024
Ola,2/7/2024
feliz dia :D,2/7/2024
Te amo mujer guapa❤️,2/5/2024
Te quieroo mucho ♡♡,2/8/2024
(⁠˃͈⁠ ⁠દ⁠ ⁠˂͈⁠ ⁠༶⁠ ⁠),2/6/2024
Que lo disfrutes 🙂,2/1/2024
Eres precioso y te amo mucho<3,2/1/2024
Feliz día de San Valentín ,2/7/2024
Gabioooo ;),1/25/2024
Te amo mi niña hermosa ,2/8/2024
Feliz San Valentin Mi vida Tqm,2/7/2024
Escríbeme chinita sabes qn soy,2/3/2024
FS al mejor amigo del mundo ♥️,2/8/2024
Traga y agradeceme,2/7/2024
geberel ,2/7/2024
Te amo demasiado,2/10/2024
Te amooo bonita ,1/29/2024
Te amo mi viejilla verdee,2/7/2024
tqm abi bonita ,2/6/2024
tkm coquette,1/30/2024
De tu osito favorito te quiero,1/27/2024
🍫,2/5/2024
TQM ñañita ♥♥♥♥♥♥♥♥,1/31/2024
Tamo vida <3,2/9/2024
Holaaa TQM♡♡,2/3/2024
te quiero mucho fabii,1/27/2024
Te quiero muchisimoo,2/8/2024
Te quiero mucho ñañita 🫶,2/7/2024
Te quiero mucho Pancho,1/29/2024
Con mucho cariño :),2/8/2024
Ya te compró tu granizado 😁 tq,2/8/2024
te amo princesa ,2/6/2024
Tqm gracias por todo,2/5/2024
Pene en tu boca zunga tqm<3,2/7/2024
Tqm Day,1/25/2024
Red Bull mejor q Ferrari 😡,2/9/2024
Me gustas :),1/29/2024
Turrazo,2/7/2024
"Felizdia rubia, te quiero full",2/8/2024
"Tqm micka, disfruta jsjs",1/29/2024
Te amo princesa ,2/9/2024
Te quiero full <3,2/6/2024
te amo <3,2/10/2024
Feliz San Valentin,2/7/2024
Te quiero enano ♥️,2/8/2024
Para ti mi niño ❤️,2/4/2024
Te amo p. Hahahahahaha ,2/6/2024
IMY （╹◡╹）♡ 『Say no to violence,2/6/2024
TQM,2/8/2024
🙈🙈,2/7/2024
P:MiProfeFavDe:SuEstudianteFav,2/6/2024
te adorooooo,2/7/2024
Daras gomitas a todos en casa,2/6/2024
Te quiero majito ,2/7/2024
T amo ñaña <3,2/7/2024
Hola buapaaaa 0.10,1/30/2024
Feliz día!,2/8/2024
Tqm Jayayin 💕,2/5/2024
Holaaa me gusta mucho bye,2/5/2024
Dulce+corazón=perfección @C,2/7/2024
PKE.,2/10/2024
Te amooo negraaa,2/6/2024
Te quiero Amigo :D,2/9/2024
Te extraño mucho ❤,2/6/2024
Te quiero mucho ezquiso uwu ,2/8/2024
Feliz SV a mi negrita linda 🫶,2/8/2024
Te extraño ;,2/7/2024
TE AMO ❤️,2/8/2024
😘💐,1/29/2024
Lol,2/8/2024
tqm mi bube ,2/5/2024
Thank x todo sos  la mejor TQM,2/7/2024
Parame bola mi amor ,2/2/2024
T AMO CAMM,1/30/2024
Te amo hijita😘,2/8/2024
Se te quiere mucho <3 ,2/9/2024
Mica bellaaaaaaaa 😍🤓,2/6/2024
💗,2/8/2024
Feliz San Valentin Paolita TQM,2/3/2024
Me gustas muchooo eres lindaaa,2/7/2024
Feliz san Valentín ,2/2/2024
Te quiero mucho ,2/2/2024
"No necesitas un man, estoy yo♡",2/7/2024
Me vuelves loco que se repita ,2/8/2024
Ratanegra tq🤍,1/30/2024
Te amo mucho ,2/5/2024
Te amo Luu 💗🥰,2/3/2024
Te amo sol 💛,2/5/2024
Que tengas un feliz día ,2/6/2024
mi real,1/30/2024
"I'm proud of you, ily <3",2/8/2024
Tqm Elizeth!!,2/7/2024
tu mi 14 de febrero tqm  ambar,2/6/2024
Negro feo <3,2/6/2024
Tqm <3,2/9/2024
Una flor para otra flor💞,2/9/2024
feliz san valentin camii tqm,2/2/2024
Cásate conmigo ,2/9/2024
Nunca me olvides tqm <3,2/2/2024
bravo 🫶🏻,2/9/2024
Tqm amiguita bella,1/26/2024
Te amo mucho mi niño lindo ✨😍 ,1/31/2024
Te amo viciado al fornai <3,1/30/2024
Te amo,2/8/2024
solo quiero que seas tu.,1/30/2024
Eres un solcito Martoo !!🌟🌟,2/8/2024
feliz san valentin enana,1/31/2024
Por la camiseta de Mickey 💪🇵🇪,1/30/2024
Tqm cuy,2/4/2024
Tkm 😝🤍,2/1/2024
Feliz día Samu Sapo tqm,2/8/2024
Tqm ♡♡,2/6/2024
Feliz día pasita,2/6/2024
"Un gustaso Benji, c t quiere♡",2/8/2024
Tqm Nicks,2/5/2024
"Mmm adivina, olvidona ",2/9/2024
Feliz San Valentin <3 ,2/5/2024
Feliz San Valentín Valu <3,2/8/2024
me a yudo a mandarle ,1/30/2024
feliz dia valentin Mika,1/26/2024
"Gracias x todo Mcqui, TQM <3",2/7/2024
Intercambio :) MC,2/8/2024
tqm maca,1/31/2024
te amo feliz dia mi niño ,1/26/2024
TAMO MARIA CHUN CHUN ♥️,2/2/2024
M.A.I ,2/1/2024
Feliz día amor <3,2/7/2024
Lindo día mi albondiguita,1/26/2024
Ultimo año aquí 0963812727<3,2/4/2024
Espero que te guste,2/7/2024
Te quiero mucho 💘,2/8/2024
te amo mor :3 ,2/6/2024
Gracias por todo corazón,2/8/2024
JJPAScHeDTiHSJHASJFLSJ MENTIRA,2/8/2024
Ten buen d´´´´´´ia,2/5/2024
Para el chico mas especial,1/30/2024
te extrano :(,2/9/2024
Para mami zharick ,2/6/2024
Love youuu <3,2/3/2024
Manzanilla Puchaina 💋💋💋💋,2/2/2024
Bano eres un buen amigo gracia,2/2/2024
Falta un día amor! TE ADORO 💗,2/8/2024
Me gustas<3,1/30/2024
Usted es mi severidad gatuna ❤️,2/9/2024
Se parecen a ti  Te quiero <3,2/8/2024
:),2/4/2024
Te amo mi niña ,2/1/2024
Feliz día Pauuu,1/30/2024
te amu,2/9/2024
Te quiero mucho ,1/25/2024
Porque t amo 💗💗,1/30/2024
Tqm feliz San Valentín ,2/10/2024
Te quiero mucho 💕 ,2/8/2024
"D mi, para ti <3, t extraño :(",2/10/2024
Saraaa,1/26/2024
Pero sí? O te ahuevas,2/8/2024
Te quiero cosa bella,2/7/2024
"Holi, te quiero tonto lindo💘💘💘",2/7/2024
Mi tilina ,2/8/2024
Eres la mejor amiga te quiero,2/6/2024
Gracias por todo maiga<3,2/9/2024
Gracias por hacerme reír ,2/9/2024
:) <3,2/6/2024
TE QUIERO MUCHO BRO ,1/29/2024
Mi Luci guapa,2/10/2024
Te amo mucho,2/3/2024
"Para Mi Vaguita, Loquita",2/1/2024
Feliz san Valentin ,2/9/2024
Tqm 🫶🏻,1/31/2024
Callejera se te quiere cachuda,1/26/2024
Espero te guste este regalo ,1/31/2024
feliz 14 llorona ,2/7/2024
Te quiero,2/5/2024
Págame ,2/2/2024
Chula fea,2/6/2024
Te quiero muchooo bby ,2/7/2024
Te quiero full mi vidaaaa ,2/7/2024
:),2/8/2024
Feliz San Valentin Nicky💗,1/27/2024
I love you💗,2/5/2024
happy day,2/6/2024
Feliz san Valentín nathy bella,2/8/2024
:3 ,2/9/2024
Para mi Mii tkmm,2/3/2024
Te amo Andy 💗,2/10/2024
Te amo ,2/8/2024
ti amo mucho mi niña preciosa,2/9/2024
feliz dia de la amistad vale,1/25/2024
se el CI de mi Na,2/7/2024
Para mí celosita favorita <3 ❤️,2/7/2024
Una rosa para otra rosa,1/29/2024
Mi novia no será espectadora,2/8/2024
Tqm❤️,1/30/2024
te amo mi chuqita ,2/6/2024
Te amo ,2/6/2024
,2/4/2024
Feliz San Valentin:),2/5/2024
Te amo mi niña linda💕👺🌷,1/26/2024
<3 Antes De Perderte - Duki <3,2/8/2024
Feliz San Valentín 🌹♥️ ,1/27/2024
Te amo ,2/7/2024
Para mi paño de lagrimas ,2/6/2024
Te amo mucho 💗,1/27/2024
Felis día y aniversario <3♡,2/9/2024
Espero te guste ,2/6/2024
Te manda el Simon (g),2/1/2024
Para q no digas q no te dan nd,2/9/2024
Para mí negra favorita ,2/6/2024
Chiquilla,2/8/2024
Te amo en todas mis vidas ♡,2/6/2024
Feliz San Valentin,2/8/2024
Isaacsito de mi vida ,2/7/2024
"Te amo mi vida, disfruta ❤️💕✨",2/3/2024
Te esta llamando un bellako,2/1/2024
te quiero 💖,2/6/2024
Feli diaaa tqm 💗💗💝,1/26/2024
Feliz San Valentín 🩷,2/6/2024
Feliz San Valentín ,2/3/2024
Feliz san Valentín Nathy wapa ,2/6/2024
"te amo hoy,mañana y siempre 💗",2/3/2024
quieren ser mis chiqui baby?,2/8/2024
te amo preciosita mía 😘😘,2/8/2024
Feli Navidad,1/25/2024
" Drama Queen, te quiero vv",2/6/2024
Se te quiere un montón ,1/30/2024
t amo novia hermosa mua,2/7/2024
Feliz san valentin raquelita,2/9/2024
2 Rosas para mi Nani hermosa,2/6/2024
te amo valee,2/6/2024
Te amo Abby wu ,2/2/2024
Te quieroooo ,2/4/2024
otro ,1/25/2024
Gracias por ser La mejor bb ,2/8/2024
te amo <3,1/30/2024
negra<3 ,2/7/2024
"Aunque no esté, tqm ",2/6/2024
Que las disfrutes Zoe ,2/7/2024
Te amo mi Estebitan ,2/4/2024
para el q me debe gomitas ,1/27/2024
Negre te quiero mucho 🤠,1/30/2024
te amooo putee,2/7/2024
te amo mejoramiga<3,1/31/2024
que mais brooooooo,2/7/2024
Te amo con todo mi corazón ❤️,2/2/2024
Feliz San Valentín mi amor<3,2/1/2024
"te quiero mucho, me encantas 💗",2/2/2024
te quiero moralover,2/6/2024
ojalá te atores,2/7/2024
Una rosa para la más hermosa,2/9/2024
Te adoro nenaa <3,2/8/2024
Amiguilla del alma te quiero 💗,1/30/2024
"Te amo happy valentine's day, ",2/6/2024
Para mi chiquilla <3,2/10/2024
Te adoro princesa hermosa,1/30/2024
Te quiero 💕,2/2/2024
te amo vick,2/6/2024
Feliz San Valentín ♡,2/9/2024
Te amo bonita💓,2/9/2024
Gracias por estar conmigo ,2/1/2024
Gracias por romper ese vaso <3,2/9/2024
TQM lindo ,2/2/2024
Feliz Día Danny Te quieroo,2/7/2024
"De Mary, te quiero bb 💕",2/6/2024
Para mi niño enojon tqm,2/7/2024
Eres mi súper befa ,2/1/2024
Gaysote,2/9/2024
Toy feliz d conocerte mi Andy♥️,2/7/2024
Pa cuando un Evade ,1/28/2024
Tupapa 🤗,2/9/2024
Te quiero  Feliz Día sabiondo,2/8/2024
Con mucho cariño amor te amo❤️,2/1/2024
Aun eres especial para mi bobe,2/2/2024
Mi bella Ari te quierooooo <33,1/30/2024
Con amor,2/8/2024
hola:),2/1/2024
Muak besote ❤️,2/2/2024
Para mi prima favorita ,2/6/2024
Te amo zorra,2/8/2024
Gracias por ser mi mejor amiga,2/5/2024
Te quiero mucho Kira 💗,1/26/2024
Te amo 😘 ,2/7/2024
FELIZ 14,2/6/2024
Mi real,1/30/2024
rata,2/6/2024
Te amo mucho real ,2/7/2024
Te amo mucho mrd,2/5/2024
Me gustas ,2/1/2024
"Te amo mi abi pueble, rhlm ❤️",2/6/2024
tu sobrina favorita,1/31/2024
T quiero un mundo mi Tina ❤️,2/9/2024
Tkm ñaña 💗,2/8/2024
"Si tú saltas, yo salto....",2/8/2024
miamou te amo<3,1/27/2024
Para mi niña hermosa. ,2/9/2024
Tqm resentida ,1/25/2024
"te amo Yalin, HBD baby ",2/8/2024
se te quiere toreto ,2/6/2024
Felíz cumpleaños ,2/6/2024
Feliz San Valentín.CC,2/8/2024
"Tq presi,basket a las 4pm o n0",2/10/2024
🤫🧏,2/7/2024
de yo para tu chango ,2/6/2024
😃,2/7/2024
Redactora principal,2/2/2024
Eres la mejor persona q conosc,1/25/2024
ay esta zorro ,2/5/2024
Feliz San Valentín ,2/8/2024
<3,2/1/2024
Mi pinguina Fav c: ,1/28/2024
Para la lojana jodona <3,2/5/2024
Para mi niño dramatico,2/7/2024
Besos en el siempre sucio tqm,2/7/2024
0962962900 0984880244,2/8/2024
Disfruta  an0,2/8/2024
Con amor para ti 💗,2/4/2024
Ya te hablo tu hermano jajaja,2/7/2024
💕💕💕,2/6/2024
MI FUTURA CHAMBA ,1/29/2024
Pasa un feliz día lunita <3,2/7/2024
Mi crush 😍 ,2/7/2024
Te amo Isista💘,1/30/2024
Tu mama,2/8/2024
Se te ama💓,2/6/2024
TQM Gabito ,2/7/2024
Te amo <3,2/1/2024
Del mejor jugador de Fortnite ,2/6/2024
Te amo mi enana ,2/5/2024
Te quelo ñañito,2/4/2024
que la pasea bien,2/8/2024
"Tqm Mateito, ardilla fav, 365 ",2/4/2024
Feliz 14 reina,1/27/2024
El amor de tu vida bb,2/6/2024
Toma tu pase del clash y no jo,2/6/2024
Me encantassss,1/29/2024
Tqm vale 🫶🏼,2/3/2024
Te amo chiqui beibi,2/8/2024
Te quierooooo muchooo,1/26/2024
Te amo mateo landazuri ,2/2/2024
Te quiero aylincita ,2/7/2024
mimarido (gojo satoru-geto ml),1/29/2024
Tqm y q la pases muy bieen<3,2/3/2024
Con mucho cariño ,2/1/2024
Te quiero mucho Sirenito ❤,2/10/2024
Te amo guapetona,2/6/2024
Para la de los malos gustos💋,2/7/2024
"Hola bro, eres un falsito",2/7/2024
ya extraño cada día,2/5/2024
Te amooooo mi amor ♡♡♡♡♡♡♡♡♡♡♡,2/7/2024
Me encantas mujer preciosa 😻,2/7/2024
Ali feliz diaaa ,1/31/2024
elkarmaesminovioelkarmaesundio,2/6/2024
Tq💗✨,2/7/2024
te amo maggy ,2/7/2024
LOVIUUU Te quiero un universo,2/7/2024
Te amoooo mi Emma linda ,2/5/2024
"Te mereces mucho mas,teamo<3",2/5/2024
Bro 🤨,1/25/2024
Ya dejala y vente conmigo ,1/29/2024
Con mucho cariño,2/7/2024
para mi bestfriend forever.,2/6/2024
Com todo corazon ,2/9/2024
Si,2/8/2024
Gracias por ser mi amiga :3,2/7/2024
Que mas ve?,2/5/2024
tq nalgona,2/5/2024
Ves que si te quiero? ,2/2/2024
T.q.m Valerita 💗,2/8/2024
Tqm amiga 🫶,1/30/2024
solo me paso delineando ,2/6/2024
But darling.. we're all insane,2/5/2024
Feliz san Valentín sammm,2/9/2024
Tq vaquita muuuuu,1/30/2024
Se te quiere🥰,2/5/2024
magia negra y magia blanca ,2/8/2024
Para mi No Isa love youuuy♥️♥️,2/7/2024
para ti negra :D,1/31/2024
<3 Tqm,1/31/2024
Feliz San Valentin Jam linda ❤,2/7/2024
Espero la pases bonito,1/29/2024
te quiero fabi,1/29/2024
Te gustaría una amistad? ☆,2/7/2024
Espero te guste danielito ,2/6/2024
Conéctate al fort 😡,2/7/2024
Un siempre.. contigo ✨,2/6/2024
🫶🏻,2/9/2024
FELIZ DIA AMISTAAAAAD ,2/7/2024
"Teamo, feliz san valentín ",1/27/2024
Adivina quien soy niño? <3,2/10/2024
Te amo princesa,2/6/2024
Hermosa y dulce como esto,2/5/2024
tqm,2/1/2024
corazondemelonnn,2/9/2024
✨🌝,2/7/2024
Gracias por estar en mi vida 😽,2/8/2024
Eres lo mejor que me ha pasado,2/5/2024
Te amo corazón ♡,2/7/2024
"Te amo Mome, ya ven a verme 😭❣️",2/8/2024
Para mi mejor amiguito,2/2/2024
Te amo mamahuevo ,2/6/2024
Para mi escoba favorita ,2/7/2024
Ilysm<3,2/2/2024
"Feliz san valentín, tqm :3",1/31/2024
Tqm lulu 💗,2/6/2024
Disfruta ti potatsio uwu tkm ,1/31/2024
LOBIUUU MMRR <3,2/8/2024
Desbloquéame de ig 😘,2/6/2024
tqm adry ,2/1/2024
Te quiero un montón Sofiiii,2/7/2024
Te quiero ojiazul,2/8/2024
Gracias por ese amor y amistad,2/10/2024
Con mucho cariño de aaah yo <3,2/1/2024
Mi Lulu te extraño <3,2/6/2024
HP VALENTINES'DAY GUAPAGUAPA<3,2/9/2024
para ti prima😎,2/5/2024
Jijija 🗿,2/6/2024
Ve ya deja a ese man jajaja,2/8/2024
♡ ,2/7/2024
Te amo con mi vida sucia,2/9/2024
ten una mala mañana ,2/5/2024
Te quiero mucho ❤️🫵🏻,2/6/2024
Te quiero mucho noe  ,1/30/2024
de tu papi osito favorita :),2/1/2024
Feliz cumpleaños ,2/7/2024
Teano,2/5/2024
Hola Ari espero te guste 🫶,1/29/2024
FALSA,2/9/2024
Invítame a tu casa ,1/30/2024
el rojo te queda lindo,1/26/2024
Me gustas...,1/30/2024
El amor de tu vidaaaaaaa t amo,2/7/2024
Te quiero muchoooooo💕,2/9/2024
te amo martukiss ,2/6/2024
Tqm abiertito,2/6/2024
Feli dia kivin <3,2/7/2024
Soy tu pretendiente 😻,2/7/2024
:),2/2/2024
Te amo sofi <3,2/7/2024
Mi vidaa tqm <3,2/5/2024
Quisiera ser algo mas ........,2/8/2024
❤️❤️❤️,2/7/2024
🖕,2/5/2024
ME GUSTAS ,2/10/2024
I love youuu💗,2/5/2024
tqm estefany ,1/31/2024
Gracias por llegar a mi vida 💕,1/30/2024
Para la más negra <3 ,1/31/2024
te quiero mucho sari,1/31/2024
Te amo mi niña 💘,2/9/2024
Te quiero mucho mi flaca <3 ,2/8/2024
❤️❤️❤️,2/1/2024
Te amo titi ❤️,1/28/2024
Te quiero mucho,2/8/2024
Te quiero mucho negrita,2/7/2024
TRAKA y se tqm amiguita ,2/10/2024
Tqm Raffa,2/7/2024
"te amo amor, me tienes siempre",2/7/2024
Tqm estupida no cambies ,2/8/2024
"Feliz día mi niña, te amo ♡♡",2/7/2024
Ten bonito San Valentin 💗,2/6/2024
Te amo♡,1/29/2024
"te amo muchoo, fsv<3",1/29/2024
te adoro negro,1/30/2024
Bellakat ,1/30/2024
"toma ña, tqm ña <3",2/6/2024
Para cuando un Forti,2/1/2024
mi bella como una estrella.tqm,2/5/2024
Te amo mucho y dame mi abrazo ,2/9/2024
dime si te llegó,2/3/2024
tqm wapa ,2/4/2024
Te amo negra 🫶,2/6/2024
"te amo feo, me haces feliz xx",2/7/2024
Feliz día de la enemistad :),2/8/2024
Feliz día Cami de corazón ,2/6/2024
Feliz San Valentin :),2/7/2024
Te amouuuuuu,2/7/2024
Una rosa para ti hermosa,1/31/2024
❤️,2/2/2024
Feliz día mundial del agua pep,2/9/2024
"Riverita, un regalo para ti ",2/9/2024
La quiero aunq no esté ,1/26/2024
Te amo mucho mi san Valentín ❤️,2/8/2024
Feliz San Valentín ,2/7/2024
Ti amu 3mil,2/9/2024
Por qué me traes loco ,2/4/2024
Bb feliz San Valentín 💕,2/4/2024
Para la mas artista,1/27/2024
Gracias por tu amistad tqm <3,2/1/2024
Te amo mi baby bonito ❤️,2/6/2024
Feliz San Valentín Vikona 🫶😛,2/7/2024
te quiero amiguita,2/9/2024
VAMOS LEONAAAAA,1/25/2024
tamoo muchoo miamor guapisima❤️,2/6/2024
Para el menos bandido,1/29/2024
Te quiero mucho esposita❤,2/7/2024
Te quiero mucho corazón ⁠♡⁠,2/7/2024
TE AMOO BABY ,1/29/2024
De: Mi Para: Tu,2/1/2024
♥️,1/30/2024
feliz san valentina preciosa ,2/7/2024
Eres la mejor te amooo ,2/6/2024
Para mejor amix,2/6/2024
feli día :3,2/5/2024
Disfruta la Rosa tqm ,2/1/2024
Tqm <3,2/6/2024
;3,2/7/2024
Otro por hermosa,2/7/2024
Feliz día Magdalenita,1/25/2024
Directora de arte fav <3,2/8/2024
te amo mi vida 💕💕,2/8/2024
Tqm,2/8/2024
;0 ,2/7/2024
Con cariño Paul ,2/9/2024
FELIZ SAN VALENTIN,2/7/2024
Tu SPIDERMAN Favorito :),2/10/2024
Feliz Día gracias por la music,2/8/2024
Te quiero mucho mari hermosa,2/9/2024
PERE ME PETE PECHECE,2/10/2024
Mua mua ,1/27/2024
ojalá te guste ♡,1/29/2024
Lvsm Paulette ,2/9/2024
Ojala y te guste mi linda♥️,1/28/2024
T amo 3 millones <3,2/1/2024
"Tqmm mi ferchoo, ya veámonos 😿",2/7/2024
te amo muchisimo mi niño💗,2/6/2024
Gracias por tu bonita amistad ,2/6/2024
Te quiero peque ,2/9/2024
Te quiero Anii ,1/26/2024
tqm Loyita<3,2/3/2024
💗,2/7/2024
Para que no te cojas las mías ,2/5/2024
Te extraño muchote mi vida,2/5/2024
Feliz día 😘,2/9/2024
Perra,2/10/2024
Para mi guapa 🫶🏻,2/5/2024
Por siempre ser mi cómplice ,2/2/2024
Te amo un montón ,1/27/2024
Lo prometido es deuda.,2/2/2024
Eres hermosa nunca lo olvides ,2/5/2024
 ♡ All of me-John Legend♡,2/4/2024
Mi juliettota ,2/6/2024
Besitos bro ,2/8/2024
Te quiero mucho ,2/8/2024
te amo mi amor,2/9/2024
Ya no me odies <3,2/9/2024
Para una nueva ñañita,2/7/2024
"Te amo full, espero te guste ",2/6/2024
T EMI te amo mucho ,1/31/2024
Te quiero mucho vale💗,2/8/2024
Tqm loquita ,2/1/2024
Tkq mi vida ,2/6/2024
Te extraño mucho Valeee💗,2/9/2024
PORQUE TE AMO ,2/7/2024
🤠👍,2/7/2024
Pa la guapa de la Eche ,2/10/2024
Lucia yo te detesto <3,2/9/2024
❤️,2/4/2024
Feliz San Valentín Sarita ,2/9/2024
De tu pookie 😘🥰,2/5/2024
Ya te mandaré lo q t gusta💗,2/6/2024
para mi hater número 1,2/6/2024
La Rapidita te extraña full,2/7/2024
Isaa Felizz San Valentín  ,2/1/2024
Te amo ñara 💘,2/3/2024
Dana te extraño y tamo mucho,2/9/2024
Te quiero amiguilla,2/7/2024
Mi vida preciosa tqm <3,2/2/2024
En ti lo encontre todo ,2/9/2024
No hay novio pero si besti,2/1/2024
Holaa feliz San Valentín 💗💗💗💗,2/8/2024
🙉,2/8/2024
Gracias por tu amistad,2/7/2024
Ummpa loompa,1/29/2024
Gracias Hermoso,1/26/2024
Te amoo y extraño demasiado ❤️,2/6/2024
Feliz día mejor amigo,2/8/2024
Se te quiere mucho 😸,2/5/2024
Gracias por tu amistad mi vida,2/8/2024
t amoo,2/8/2024
Mimis mylove te quiero mucho 💗,2/1/2024
Gabitooo tqm,2/7/2024
"Te amo mi pequeñita, rhlm ❤️",2/6/2024
Feliz san valentinnnnnnnnn,2/6/2024
😊 ,2/6/2024
Sos la mejor rata boluda t amo,2/4/2024
Te amo mi niña linda 🫶🏻,2/7/2024
deje de llorar por cholos,2/7/2024
Feliz día de San Valentín 💕,2/9/2024
avisaras para salir ,1/26/2024
❤,2/5/2024
Para mi besto frendo ,2/4/2024
te adoro fñequette,1/28/2024
Feliz san valentin pau tamoo♡︎,2/6/2024
Tu me debias una salida el 14,2/8/2024
tqm,2/9/2024
tesoro=tu amistad,2/6/2024
tan guapa y sin novio,2/7/2024
Linda que me da consejos,1/30/2024
Hola amiga sanaaa💞🌹,1/29/2024
lyy,1/25/2024
"Tqm, que la pases bonito 🫶",1/26/2024
Eres real hasta la muerte??,1/30/2024
Te quiero gay 😍,1/26/2024
Tqm Ani. Siempre toy parati<3,2/6/2024
Te quiero mucho :),2/6/2024
Te adoro mi niña linda,2/7/2024
Te odio,2/5/2024
Te amo chia A+P x100pre,2/9/2024
Siempre seamos amigas.,2/7/2024
Que te quiero ,1/26/2024
Matincito,1/30/2024
"Me gustas soy de 9 ""A""",2/2/2024
Te quiero mucho mi wawita,2/8/2024
Te quiero mucho anita ,2/1/2024
Te amo mi niño ,1/27/2024
para mi bebé ,2/1/2024
<3,2/5/2024
FelizSanValentin desde  LA ,1/30/2024
Feliz San Valentin amiguita :D,2/4/2024
Te amo mucho,2/1/2024
"Te quiero, espero esa salida",2/2/2024
Te amo mucho ,2/8/2024
Te quiero miles de estrellas<3,2/8/2024
whoismia_08 +593 98 070227 <3 ,2/8/2024
Bsitos :3,1/29/2024
Te amo jupuuu,2/9/2024
En tu carbon ay estubo mi cora,2/1/2024
Juguemos un fort 👻,2/6/2024
Feliz San Valentín 🤍,1/25/2024
TQM <3,2/2/2024
Te amoooooo <3,1/30/2024
Dame el cubo,2/5/2024
Oink oink,2/4/2024
"Hola, emy linda te amo mucho",1/28/2024
Te amo muchoo mi niño bonito<3,2/9/2024
wuenas minion no me mates ;),2/6/2024
tqm caro <3,2/7/2024
Feliz San Valentín¡,2/7/2024
🎧mora♡,2/9/2024
feliz sanvalentin tqm ,2/7/2024
te amo mucho ña :D,2/7/2024
Te amo mucho ña ,2/8/2024
Para mi compañera ;P,2/7/2024
FELIZ SAN VALENT8N ‼️🗣️,2/3/2024
Feliz día <3,2/8/2024
"Me declaro, me gustas",2/6/2024
Tamo Criis gracias por todo🫶🏼🫶🏼,2/1/2024
Guapa,1/30/2024
La mujer que más te ama ,2/5/2024
Gracias por ayudarme en todo ,2/7/2024
Mi hija feliz dia te extraño<3,1/31/2024
Otro por linda,2/7/2024
Tq mucho,2/7/2024
Te quiero ,2/8/2024
"Te amo bobo, feliz dia <3",2/7/2024
Te amo mi no valentine ,2/5/2024
Mañana bajo y te la chupo G.,2/9/2024
Te quiero mucho ,2/9/2024
Feliz San Valentin Te Quiero ,2/7/2024
Me debes algo,2/9/2024
La mejor amiga del mundoo,1/30/2024
Para la meumeu 😲,1/25/2024
tqm,1/29/2024
Gracias por tu amistad! <3,2/9/2024
"Ponce, eres el amor de mi vida",1/26/2024
"Feliz día mi vida, te amoo!",2/7/2024
Feliz día Parrita ,2/5/2024
Tamo Mili,2/9/2024
Te amo bellakaa,2/8/2024
Te quiero ,2/7/2024
Aprilllll linda lvysm broski,2/8/2024
Feliz san Valentín love u 🩷,1/25/2024
deja de llorar por cholos ,2/7/2024
Tqm camila eres la best,2/9/2024
<3:3,2/8/2024
"Feliz día corazón, te amo ♡♡",2/7/2024
I love you,2/7/2024
Este solo por lindo mi amooorr,2/8/2024
Feliz día maria tu patrona tqm,2/7/2024
Come un poco de dulce ,2/8/2024
esto por los puntos,2/7/2024
Bicha te adoro ❤️,2/9/2024
Sorpresa creo jaja traka 💋 ,2/3/2024
te quiero mucho :),2/2/2024
Te adoroooo❤️,1/26/2024
Para mí ñañita fav 💗,2/8/2024
3,1/29/2024
t amo,1/30/2024
Sorra 🖕,2/6/2024
Te quiero mucho ,2/1/2024
Es quema anual de chanchos 💪,2/7/2024
Para que sonrias más ;D ,2/7/2024
Feliz San Valentín guapa ,2/8/2024
Bobita,2/7/2024
eres muy lindo 😻😻😻,2/5/2024
"Esta vez ,Veo en ti la luz ☀️",2/7/2024
Feliz día bro ,2/8/2024
Te quiero amiguita PAI,1/30/2024
tqm timoo waa t extraño:c,2/6/2024
Tqmmm negraaaa ,1/31/2024
Te amo futura abogada <3 ,2/6/2024
pintamos toda la casa,2/8/2024
te amo mucho mi vida helmosa,2/3/2024
Eres un increíble futbolista ❤️,2/8/2024
Para que comas algo gay,2/8/2024
Te amisiiimmoooo ,2/1/2024
Gagadigagaudou,2/6/2024
"Espero que te guste, te amo 💗",2/7/2024
tamo mi niño de ojos lindos 💕,2/9/2024
"Ti amo, pero ya pideme :)",2/7/2024
te quiero :),2/7/2024
loviu,2/2/2024
Te amo 💞,2/7/2024
feliz día d la amistad mjor tk,2/8/2024
